Age;Education;Marital_Status;Income;Children;Mn_Customer;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;AllSpends
63;Graduation;Single;58138;0;9;635;88;546;172;88;88;1617
66;Graduation;Single;46344;2;3;11;1;6;2;1;6;27
55;Graduation;Together;71613;0;8;426;49;127;111;21;42;776
36;Graduation;Together;26646;1;2;11;4;20;10;3;5;53
39;PhD;Married;58293;1;1;173;43;118;46;27;15;422
53;Master;Together;62513;1;9;520;42;98;0;42;14;716
49;Graduation;Divorced;55635;1;11;235;65;164;50;49;27;590
35;PhD;Married;33454;1;5;76;10;56;3;1;23;169
46;PhD;Together;30351;1;6;14;0;24;3;3;2;46
70;PhD;Together;5648;2;3;28;0;6;1;1;13;49
37;Graduation;Married;;1;11;5;5;6;0;2;1;19
44;Basic;Married;7500;0;11;6;16;11;11;1;16;61
61;Graduation;Divorced;63033;0;11;194;61;480;225;112;30;1102
68;Master;Divorced;59354;2;11;233;2;53;3;5;14;310
33;Graduation;Married;17323;0;10;3;14;17;6;1;5;46
74;PhD;Single;82800;0;11;1006;22;115;59;68;45;1315
40;Graduation;Married;41850;2;12;53;5;19;2;13;4;96
74;Graduation;Together;37760;0;8;84;5;38;150;12;28;317
71;Master;Married;76995;1;3;1012;80;498;0;16;176;1782
35;2n Cycle;Single;33812;1;11;4;17;19;30;24;39;133
38;Graduation;Married;37040;0;8;86;2;73;69;38;48;316
41;Graduation;Married;2447;1;1;1;1;1725;1;1;1;1730
71;PhD;Married;58607;1;12;867;0;86;0;0;19;972
66;PhD;Married;65324;1;1;384;0;102;21;32;5;544
69;Graduation;Together;40689;1;3;270;3;27;39;6;99;444
51;Graduation;Single;18589;0;1;6;4;25;15;12;13;75
44;Graduation;Married;53359;2;5;173;4;30;3;6;41;257
34;Graduation;Single;;1;2;5;1;3;3;263;362;637
31;Graduation;Married;38360;1;5;36;2;42;20;21;10;131
55;PhD;Married;84618;0;11;684;100;801;21;66;0;1672
31;Master;Divorced;10979;0;5;8;4;10;2;2;4;30
57;Master;Together;38620;0;5;112;17;44;34;22;89;318
50;Graduation;Together;40548;1;10;110;0;5;2;0;3;120
68;PhD;Divorced;46610;2;10;96;12;96;33;22;43;302
74;Master;Married;68657;0;2;482;34;471;119;68;22;1196
69;Master;Single;49389;2;8;40;0;19;2;1;3;65
50;PhD;Married;67353;1;12;702;17;151;0;8;35;913
44;2n Cycle;Married;23718;1;9;6;3;14;15;7;36;81
47;Graduation;Widow;42429;1;2;55;0;6;2;0;4;67
77;PhD;Divorced;48948;0;2;437;8;206;160;49;42;902
40;Graduation;Married;80011;1;4;421;76;536;82;178;102;1395
35;Master;Married;20559;1;3;13;1;29;3;0;7;53
63;Graduation;Together;21994;1;12;9;0;6;3;1;3;22
61;PhD;Single;;0;11;81;11;50;3;2;39;186
45;Master;Married;7500;1;10;3;1;10;3;2;12;31
44;Graduation;Single;79941;0;6;123;164;266;227;30;174;984
24;2n Cycle;Married;7500;0;11;3;18;14;15;22;50;122
52;Graduation;Together;41728;1;5;13;6;15;3;5;13;55
69;Graduation;Single;;3;1;48;5;48;6;10;7;124
66;PhD;Married;72550;2;11;826;50;317;50;38;38;1319
63;Graduation;Widow;65486;1;5;245;19;125;37;67;14;507
56;Master;Married;79143;0;8;650;37;780;27;167;32;1693
43;Graduation;Single;35790;1;1;12;6;20;30;1;3;72
43;Graduation;Divorced;82582;0;6;510;120;550;156;40;241;1617
42;Graduation;Married;66373;2;6;328;9;124;12;24;109;606
65;Master;Together;82384;0;11;984;51;432;180;120;190;1957
